wake,estimatedSleep,coffee,actualSleep
24300,6.75,1,25668
83700,7,2,27203
23400,5.75,3,23758
27900,10,5,40878
32400,5.5,2,21855
26100,10,5,40567
20700,5.25,2,20994
21600,8.25,3,32722
27900,5.75,3,23648
50400,10,1,37353
32400,6.25,3,25675
34200,8.5,1,31912
33300,8,5,33262
19800,7.5,2,29142
56700,9,4,36151
18000,6,6,26954
34200,7,3,28242
34200,7.75,1,29207
19800,6.5,8,30557
24300,7,2,27377
22500,7.75,4,31982
18000,7.25,9,34171
19800,6.25,1,23882
29700,9.75,1,36456
61200,8.75,1,32852
19800,7.5,8,34511
34200,9.5,7,40285
32400,5.5,1,21026
29700,8.75,3,34694
19800,8.5,2,32774
32400,7,1,26555
22500,7.5,2,28997
30600,5.75,10,29831
23400,8.75,1,32864
37800,9,1,33717
26100,8.25,1,31022
18900,9.75,1,36367
18000,6.5,1,24709
22500,5,5,22914
19800,8,1,30064
11700,5,1,19380
29700,9.5,1,35543
58500,8.5,3,33562
25200,8.5,2,32687
18900,6.5,8,30635
30600,5.5,2,22071
23400,5.25,7,24797
27900,9.75,1,36383
18900,6.75,5,29118
6300,8.25,2,31811
22500,5.5,9,28238
23400,8,1,30028
64800,9.25,4,37380
30600,6,2,23838
19800,7,2,27340
35100,5.25,1,20181
26100,7,1,26467
27900,9.25,1,34665
21600,8.75,2,33529
18000,7,1,26560
32400,10,3,38875
29700,9.75,3,38043
35100,10,2,38285
34200,8,7,35323
20700,6.75,9,32007
35100,5.5,1,21080
28800,10,7,42792
23400,5.25,1,20178
28800,9,1,33699
61200,7,1,26425
35100,9.75,1,36373
22500,8.25,1,30962
51300,5,1,19257
23400,8.25,1,31063
27000,6.5,1,24667
20700,8.5,9,38389
27000,8.5,3,33711
18000,10,1,37237
24300,5,2,20215
18000,6.5,5,28074
26100,7,1,26453
29700,9.75,2,37369
4500,8.25,3,32609
35100,5.5,1,21121
31500,5.5,2,21969
21600,7.25,2,28153
27900,9.5,4,37935
35100,5.5,8,27170
18900,7.25,6,31473
30600,7.25,1,27342
16200,8.75,1,32762
26100,6.5,1,24680
23400,6.75,3,27410
47700,6.5,3,26446
18000,9.25,2,35479
18000,7.5,10,36364
22500,7,10,33849
31500,7,1,26525
32400,5.5,1,21176
19800,5.5,9,27233
25200,8.25,2,31896
20700,5.25,1,20179
70200,8.5,2,32641
35100,8,4,32747
18000,5.25,4,22908
27000,9.75,2,37143
33300,9,2,34417
22500,9.25,3,36296
35100,7.5,4,30882
26100,5,10,27039
52200,6,7,28378
28800,9.75,3,38170
27000,6.25,6,27993
28800,6.5,4,27432
30600,9.25,1,34659
27900,10,4,39762
45000,5,1,19369
25200,6.25,1,23838
21600,9,2,34697
26100,6,5,26385
77400,7.75,4,31424
22500,5.75,4,24748
19800,9,4,36482
20700,5.75,3,23603
13500,6.75,2,26459
19800,7,1,26502
27000,8.5,3,33593
26100,8.5,3,33716
34200,5,2,20280
23400,8.5,4,34404
31500,9.75,1,36473
32400,5.25,6,23998
20700,7,1,26562
34200,6,6,27195
24300,6.5,6,28794
27900,7,6,30932
18000,9.25,2,35481
18000,9.75,7,41858
24300,7.75,1,29241
35100,9,2,34424
33300,9.5,1,35510
81900,8.5,5,35302
20700,6.75,5,28992
24300,9.5,1,35545
24300,6.25,3,25537
35100,10,7,41935
30600,8.75,5,36183
30600,7.5,1,28383
27000,9.5,1,35526
24300,9,2,34576
32400,8.5,2,32788
18000,6.25,1,23836
33300,7.25,1,27333
32400,5.5,1,21165
32400,7.75,1,29165
29700,7.75,10,36467
18900,7,3,28121
27000,9.75,1,36329
22500,6.5,3,26525
24300,7.5,2,29179
28800,7,7,31599
19800,7.25,1,27360
27000,8.75,1,32861
31500,6.75,6,29882
0,5.5,1,21072
27000,9.5,3,37249
31500,9.25,7,40018
33300,5.75,5,25020
28800,7,10,33321
35100,6.25,1,23771
78300,5.25,7,24875
27000,7.25,2,28379
31500,9.75,1,36488
23400,5,1,19227
25200,7,1,26519
22500,8.25,2,31891
33300,6,1,22912
20700,6.25,3,25679
34200,6,1,22854
32400,7,2,27420
19800,7.25,3,28891
32400,7.75,3,30856
46800,7,1,26499
31500,9.5,3,37304
34200,9,6,38145
18900,8,1,30128
31500,6.25,1,23863
14400,6.5,7,29554
29700,7.75,9,36088
9900,6.25,1,23836
23400,8.75,3,34618
29700,5,10,27193
21600,9.5,1,35567
26100,8.25,7,35514
35100,8.5,3,33517
57600,5.75,4,24403
22500,5.75,3,23778
23400,8.25,7,35741
75600,5.75,1,22046
28800,9,3,35166
18900,10,3,38939
29700,8.75,2,33691
27900,9,2,34427
18900,7.25,2,28102
36000,9.5,4,38297
23400,6,4,25179
69300,9.5,1,35478
23400,5.75,9,28214
22500,8.25,8,36743
35100,7.5,1,28297
18900,5.5,3,22914
49500,6,8,28684
24300,7,7,31394
28800,8.25,3,32848
22500,5,3,20901
23400,6,4,25365
26100,5.75,3,23825
30600,5.25,6,24542
18000,7.5,2,28993
74700,5.25,3,22071
61200,8.25,4,33435
33300,9.25,6,38978
67500,8.25,1,31046
32400,6.25,1,23776
18000,7.5,1,28245
32400,8.25,2,31754
25200,10,2,38257
18900,5.25,1,20135
27900,8.75,3,34655
20700,10,6,41423
27900,7.75,2,30150
21600,9.25,10,42796
32400,9,10,40697
26100,7.75,3,30903
34200,7.75,1,29166
20700,5.5,2,22086
23400,7.25,2,28320
33300,6.25,4,26059
30600,9.5,8,41245
31500,8,3,31778
59400,5.75,8,28139
70200,9.75,8,41689
25200,8.5,2,32779
20700,6,5,26190
24300,10,1,37269
23400,8.25,2,31744
25200,9.75,1,36399
27000,6.5,8,31070
22500,8.25,2,31889
23400,9.25,1,34652
70200,9.25,1,34569
24300,9,4,36370
54900,6,1,22924
32400,5.75,5,25570
21600,5.5,3,22630
22500,8.25,10,38433
35100,5.5,2,22027
61200,5.25,3,22021
32400,7,1,26461
30600,9,3,35376
26100,5.5,2,21929
26100,6.5,3,26370
21600,8.5,2,32595
22500,8.25,3,32549
21600,5.25,1,20284
35100,7.75,6,33512
19800,7.5,7,32892
44100,6,2,23769
19800,6,10,30010
18900,9.75,3,38300
30600,5.5,1,21192
25200,5.25,3,21766
22500,9.75,9,43168
85500,9.5,4,37798
18000,6,4,25280
11700,9.5,1,35589
33300,8.5,2,32831
18900,6.25,1,23849
22500,5,4,21853
31500,6,7,28304
24300,9.25,1,34695
35100,9.25,1,34664
18000,7,2,27397
18900,5.5,2,21997
27000,5,1,19264
20700,5,7,23838
18000,7.5,1,28331
19800,6.5,4,27173
32400,8.5,4,34429
27900,8,1,30169
41400,9.25,1,34583
18000,9.25,6,39183
30600,5.25,2,21061
27000,9.5,4,38066
18900,8.75,5,36144
18900,6.75,3,27461
26100,7.25,3,28967
3600,7.25,6,31682
26100,5.75,4,24585
32400,9.25,4,37217
2700,6,7,28362
35100,7.5,1,28260
30600,6.75,4,28248
72900,8,3,31827
27000,5.25,1,20244
24300,7.5,2,29195
29700,5,3,20860
18900,5.25,1,20227
27000,9.25,10,42425
35100,8,1,30027
34200,7.75,9,35431
27000,6.25,5,27389
18900,8,2,30872
20700,5,1,19342
20700,7.25,6,31768
22500,7.25,1,27352
23400,9.25,6,38622
18000,7,9,32566
24300,5.25,1,20240
35100,5,2,20118
18900,7,1,26448
27900,9.25,4,37179
19800,6.25,1,23869
24300,6.25,3,25367
27000,6.5,1,24680
25200,10,3,39187
32400,5.25,10,27366
19800,7,1,26570
25200,5.25,3,21871
19800,6.25,2,24765
26100,8.75,4,35229
42300,8.75,6,37306
22500,6.75,3,27174
18900,7,4,28834
35100,8.5,1,31883
41400,7.5,5,31440
32400,5.25,8,26144
26100,9.5,8,40886
32400,6.25,2,24755
25200,9.5,1,35543
18900,8.5,4,34340
18900,5.75,1,22059
72900,9.5,1,35455
22500,6.25,1,23812
19800,6,2,23706
35100,8.5,4,34297
31500,6,4,25308
35100,9.5,1,35508
28800,8,1,30133
34200,5,1,19328
30600,8,3,31754
35100,9.75,2,37283
27900,9.5,10,43576
29700,7,2,27227
41400,8.75,1,32852
32400,10,3,38846
24300,7.25,2,28148
23400,8.75,3,34534
27000,8.5,3,33725
13500,7,1,26533
57600,6.75,4,27850
28800,5.75,8,28307
34200,9.5,1,35451
22500,8.25,1,31022
18000,6.5,5,28020
18000,6.5,1,24679
18900,10,5,40284
32400,5.25,2,20901
23400,7.25,1,27338
36900,8.75,2,33692
18900,5.5,7,26313
25200,9.5,1,35574
71100,7.75,1,29141
1800,7.5,1,28354
61200,5.75,1,21997
31500,7.25,5,30820
21600,8.25,4,33384
23400,8.75,10,39919
34200,7.75,6,33137
25200,5.25,5,23601
18900,5.75,9,28963
24300,7.5,3,30025
31500,10,4,39556
68400,9,1,33700
25200,8.25,1,30948
21600,5.75,6,26201
23400,8,5,33618
22500,7.25,9,34035
31500,5.5,6,25349
29700,7,10,33397
25200,8.25,3,32769
40500,8.75,4,35270
27000,6.75,3,27368
31500,9.5,8,41569
22500,8.5,2,32632
900,6.5,3,26552
63000,6.75,1,25570
4500,6,8,28609
20700,5.5,2,21867
8100,9.75,9,43503
29700,6.75,7,30211
28800,8.75,1,32840
18000,7,1,26589
31500,8.5,9,39166
23400,5.75,9,28609
31500,7.75,9,35765
18900,6.75,3,27383
21600,7.75,7,33984
23400,5.5,3,22700
28800,5.25,10,27733
27000,5.25,2,20977
25200,7.75,5,32631
22500,8.5,2,32864
39600,9.5,1,35501
34200,9.25,1,34556
29700,5,4,21835
21600,7.75,7,34045
19800,9.25,3,36371
81000,7.25,7,32541
20700,6.5,3,26150
20700,9.5,1,35489
18900,5.75,4,24722
35100,5.75,2,22747
31500,8,10,38280
80100,6,4,25207
32400,9.25,1,34590
18900,9,9,40165
22500,6,1,22962
18900,7,1,26521
27000,9,3,35292
54900,6.5,10,31999
33300,6,2,23685
73800,6.25,2,24488
34200,5.75,1,22018
25200,7.5,3,30082
35100,6.25,4,26479
31500,9.5,2,36425
25200,9.75,4,38737
23400,6.5,2,25489
24300,9.75,9,43409
52200,6.75,5,28687
18000,7.75,7,34214
31500,8,3,31612
21600,6.25,6,27687
25200,6.25,3,25618
32400,8.75,10,40267
27900,7.25,2,28112
21600,5.5,1,21104
18900,9.75,1,36457
23400,7.25,1,27431
22500,6.25,2,24498
24300,9.25,4,37276
63000,8.25,9,37486
27900,9,1,33710
20700,8,5,33215
24300,5.5,4,23390
54000,8.25,2,31919
1800,8,3,31547
24300,8.75,2,33591
24300,10,3,39190
44100,5.75,4,24767
24300,7.25,5,30592
21600,6.5,1,24678
23400,8.5,1,31981
18000,6.25,1,23848
34200,7.5,1,28354
55800,10,9,44473
29700,6.5,1,24717
31500,5.5,1,21090
18900,9,3,35434
29700,8,8,36184
22500,5,2,20018
23400,6.75,3,27056
18900,9.5,3,37299
21600,9.75,1,36381
33300,6.75,3,27484
26100,5.75,3,23685
22500,6.25,3,25287
34200,8.75,3,34634
36900,8.5,6,35990
30600,8.25,2,31951
18000,8.25,3,32859
34200,10,3,38909
32400,9.25,2,35429
31500,8.75,3,34384
29700,7.75,3,30911
27900,9,1,33692
31500,8.25,4,33653
17100,8.75,1,32894
51300,5.75,1,21988
28800,8.5,1,31893
34200,8.5,3,33654
32400,8.5,1,31917
22500,6.5,8,30069
62100,6.75,1,25576
35100,5.5,2,21994
19800,7.75,6,33169
23400,7.25,9,34264
22500,6.5,2,25411
22500,9.75,2,37237
27000,9.5,1,35456
27000,8,2,30825
27000,5.5,2,21840
18900,5.25,8,25616
27900,6.75,3,27289
18900,8.5,9,38097
18900,10,1,37328
35100,9.75,3,38187
34200,6,10,30016
22500,5.5,1,21031
900,5.75,3,23684
27000,5.5,1,21057
22500,8.5,8,37476
30600,6.5,1,24654
24300,5.25,1,20249
20700,8.25,3,32495
31500,9.5,2,36330
66600,6.75,10,33210
20700,6,1,22917
20700,5.75,1,22073
20700,9.75,6,40913
24300,8.75,4,35220
24300,6,1,22915
20700,8.5,2,32583
21600,8.25,2,31730
73800,5,8,25028
30600,7.25,2,28164
18000,8,2,30988
28800,5,7,24631
28800,7.75,3,30738
27900,7.5,3,29780
19800,6.75,2,26478
19800,6,2,23765
33300,8.75,1,32813
21600,6.25,3,25339
30600,8.25,3,32764
79200,10,1,37289
35100,5.5,1,21165
21600,6.25,9,30919
20700,10,1,37271
24300,8,3,31831
28800,7.5,5,31897
32400,6.5,4,27312
25200,7.25,8,33788
23400,7.5,5,31522
23400,5.5,1,21137
21600,6.5,6,28570
28800,8.5,2,32628
61200,6,3,24542
27000,7.25,1,27374
81000,8,2,30895
20700,6.75,8,31409
21600,9,6,37555
27000,8.25,1,31041
33300,8.5,1,31924
42300,6.75,4,28244
29700,6.25,7,29092
21600,8.5,5,35187
27000,8.25,3,32712
34200,10,3,39047
61200,9.75,1,36390
29700,9.5,1,35525
31500,5.75,3,23517
56700,7.75,1,29152
24300,8.5,9,38277
35100,8,10,38020
28800,5,1,19268
28800,8.75,1,32745
18900,8.75,8,38675
23400,9.25,2,35475
18900,6.75,2,26518
18000,9.25,6,38509
25200,5.75,1,21997
26100,6.5,1,24715
27900,8,1,30079
20700,10,2,38114
21600,7.5,3,30056
31500,9,1,33758
29700,7,9,33718
29700,8.5,1,31980
25200,9.5,2,36336
20700,7.75,7,34028
33300,9.75,1,36440
32400,6.25,5,27093
30600,9.25,3,36182
35100,7.75,2,30160
22500,7.75,1,29159
18900,5.25,2,21025
32400,7.5,1,28302
18000,8.5,3,33610
17100,8,1,30166
19800,7.75,4,31957
28800,10,1,37271
27000,5.25,3,21999
27000,7,4,29116
29700,8.5,3,33583
30600,5.75,6,26529
25200,6.75,3,27237
27900,9.5,4,38250
28800,6.5,4,27170
22500,5.75,9,28608
43200,9.5,2,36373
25200,5.5,9,28397
25200,7.25,1,27424
28800,8.5,8,37714
28800,5.5,2,21933
27000,8.75,1,32738
26100,9.75,3,38246
18000,9,2,34489
28800,8.25,4,33587
21600,7,2,27405
30600,7,1,26566
4500,8.75,3,34329
27000,7.75,1,29269
44100,9.25,6,38909
9900,7,2,27343
19800,8.5,3,33576
29700,8.75,2,33758
31500,7,3,28260
33300,7.75,3,31025
27900,9.5,1,35494
35100,9,1,33683
26100,5.5,1,21109
25200,9.25,10,42302
25200,5.25,3,21888
54000,7.5,5,31856
24300,9.25,2,35543
25200,9,1,33728
31500,5,1,19314
54000,5,6,23250
18900,9,4,35991
23400,7.25,3,29084
31500,6.25,7,28701
31500,8.5,1,31972
23400,9.75,1,36437
24300,5.5,9,28130
22500,9.75,9,43328
22500,7.5,4,30669
43200,6.5,1,24791
25200,9.25,1,34691
34200,5.25,1,20284
74700,7.75,2,30100
35100,6.5,4,27002
36900,9.5,1,35501
32400,5,3,20811
44100,6,1,22851
18900,8.25,2,31884
23400,6.5,1,24745
19800,7.5,1,28261
18000,8.5,2,32693
56700,7.5,2,29118
34200,7.25,4,29849
29700,7,1,26487
80100,5.75,3,23549
20700,7.75,1,29253
19800,7.75,2,30018
22500,7,1,26458
27900,7.75,2,30038
19800,9.5,1,35490
20700,8.5,4,34658
33300,7,2,27317
22500,9.75,10,44196
29700,6.75,4,27902
26100,7,1,26467
29700,9.25,1,34639
27900,8.5,9,38695
5400,6.5,1,24724
24300,9.5,4,38147
18000,6.75,3,27094
27900,9.25,1,34639
28800,9,1,33670
31500,10,2,38233
20700,6.5,1,24715
64800,7.75,1,29266
32400,7.5,3,30022
21600,8.75,2,33542
30600,10,1,37387
18900,9.5,1,35537
33300,5.25,1,20258
35100,8.25,4,33325
32400,8.5,3,33778
31500,9,1,33678
20700,7.25,8,33491
83700,6.75,2,26444
21600,7.75,2,30156
34200,9.25,1,34529
59400,5,9,26504
29700,8.25,2,31900
20700,5.5,8,26914
21600,7.25,1,27415
31500,7.5,2,29092
33300,9.75,1,36484
20700,7.5,1,28338
18900,5.75,1,22011
18000,8.75,1,32765
27900,7.25,1,27444
19800,5,2,20196
33300,5.25,1,20258
35100,6.75,3,27371
19800,9.25,5,37949
57600,8.75,1,32757
18900,5.5,2,21889
35100,5.75,2,22957
21600,6,4,25340
22500,10,1,37304
26100,9.25,1,34617
29700,9,4,36386
21600,9.5,3,37224
29700,8.5,3,33719
20700,5.25,10,28267
31500,7.25,2,28268
20700,9.5,3,37139
18000,6.25,3,25363
20700,9,2,34479
18000,6,1,22982
18000,6.75,1,25652
55800,10,2,38001
32400,5.25,1,20284
32400,7.5,2,29117
25200,5.75,2,22732
20700,6.5,7,29430
19800,5.75,2,22910
18000,7,3,28271
26100,8,5,33756
45000,5.25,1,20214
35100,5.5,1,21042
22500,6,3,24697
32400,10,6,41079
28800,5.75,1,22041
18000,7.25,1,27358
33300,7,3,28056
35100,7,3,28351
27900,5.25,1,20193
62100,6,1,22860
25200,6.25,1,23844
24300,7,1,26549
29700,8.25,3,32687
31500,7,3,28086
32400,9.5,10,42783
27000,5.25,4,22739
17100,8.5,1,31853
26100,8.75,9,39745
16200,10,4,39575
34200,5.25,2,21192
18000,6,5,26514
22500,8.25,3,32664
27000,7,5,29554
25200,9.5,2,36417
21600,7.5,6,32282
25200,7.5,2,29238
35100,5.75,1,22031
32400,9.75,1,36438
24300,9,2,34641
35100,9.5,3,37209
23400,7.5,4,30656
20700,5,1,19306
28800,8.25,1,30927
33300,8.25,6,35052
25200,9,2,34646
31500,6,2,23784
31500,6.5,6,29298
31500,6.75,6,30053
21600,7.25,10,34664
30600,8.5,2,32818
24300,7.25,1,27377
27000,9.25,1,34640
21600,5.25,1,20246
30600,8.5,4,34290
20700,5,1,19273
35100,6.75,1,25667
28800,7.5,1,28246
24300,9.75,3,38149
29700,7,2,27194
26100,5.25,1,20136
27000,9.75,9,43206
23400,9,10,41612
35100,6.75,2,26551
26100,8.75,1,32840
18000,6.75,1,25630
33300,7,1,26563
31500,5.75,3,23675
28800,5.75,1,22006
25200,9.75,2,37090
18900,9.5,2,36399
28800,9.75,5,39918
25200,8.25,1,31018
35100,7,8,32282
20700,6.5,1,24679
32400,8,1,30117
25200,8.5,5,35194
28800,8.25,3,32493
29700,5,5,22897
34200,5.5,9,27253
27000,6.75,4,27985
35100,6,5,26023
44100,5.75,1,21932
30600,8.5,1,31997
34200,7,3,28175
20700,5.25,2,20955
18900,9.25,10,42057
30600,9.25,9,40822
31500,8.25,3,32816
22500,9.5,1,35520
23400,9.25,8,40843
34200,5.25,3,21709
18900,7,1,26516
79200,5.5,1,21045
28800,6.25,6,27895
59400,8.5,2,32713
33300,8,9,36985
66600,6,2,23665
47700,6.5,1,24737
31500,6,4,25453
26100,7.5,2,29100
31500,8,3,31691
27900,5,1,19341
26100,9,2,34492
24300,9.5,10,42841
27000,9.5,1,35494
27900,6,2,23743
21600,5,2,20235
32400,5.25,1,20175
31500,9.5,3,37072
33300,6.75,5,29021
23400,5,4,21747
23400,7.25,2,28160
18000,6.5,1,24634
35100,7.75,1,29279
27000,7.75,1,29219
28800,10,10,44836
28800,7.25,2,28195
28800,7.25,2,28129
30600,6.5,5,28224
19800,8.75,7,37947
29700,7.75,8,35087
32400,8.25,1,30948
31500,10,3,38882
49500,7.5,3,29880
20700,6.5,1,24696
35100,9.5,5,38974
34200,7.75,5,32659
30600,9.25,1,34562
23400,9,4,36139
82800,6.75,6,29783
28800,5.25,1,20267
35100,6,3,24355
24300,6.5,1,24743
18000,6.25,4,26319
28800,5.25,1,20264
24300,6.5,5,27801
30600,5.25,1,20172
27900,6.5,1,24698
29700,8.75,1,32841
32400,5.75,1,22014
22500,7,2,27329
5400,7.25,1,27423
78300,7.25,1,27430
34200,6.75,2,26532
18900,8.75,3,34532
26100,8.75,1,32842
31500,7.75,2,30082
23400,9.5,4,37908
21600,8.75,9,40084
22500,8.75,1,32825
33300,5.25,4,22915
27000,5.5,1,21146
52200,5.25,2,21090
27900,9.25,3,36481
28800,7.25,2,28288
21600,9.5,2,36392
21600,6.25,1,23877
33300,5.75,5,25381
28800,7.25,3,29160
32400,7.25,3,28897
84600,9.5,3,37190
31500,8.75,3,34584
37800,10,7,42141
32400,7.25,2,28186
19800,7.75,3,30955
24300,7,9,33151
56700,8.5,2,32676
20700,7.5,9,34764
22500,8.5,1,31876
27900,9,9,40914
21600,7.5,1,28348
32400,9.25,1,34652
33300,7.25,1,27350
33300,8,1,30052
18000,6.5,1,24772
27900,5.75,8,28166
28800,10,1,37258
38700,6.75,3,27360
25200,7,4,28819
21600,7,6,30523
34200,8.75,6,36692
23400,6,2,23735
35100,9,8,40060
31500,5.5,10,29113
21600,8.25,3,32575
26100,8.25,1,31016
34200,5.25,1,20255
26100,5.5,8,26627
20700,8.5,8,37497
35100,8,1,30132
20700,7.75,4,31622
29700,6.75,1,25560
22500,8.5,2,32748
27900,5,10,26659
28800,5,1,19309
23400,8.75,4,35245
38700,8.75,1,32865
26100,5.25,1,20229
19800,8.5,2,32665
27000,5.5,3,22792
53100,5,1,19273
27000,5.25,2,20904
23400,8.75,3,34516
18000,8,1,30152
31500,8.75,4,35430
33300,7,1,26502
21600,9.25,1,34560
33300,6.75,10,32864
32400,8,1,30109
20700,8.5,1,31938
18900,8.25,1,30967
54900,7.5,3,30087
31500,9.5,1,35540
35100,6.5,7,30072
27000,9.25,1,34617
22500,8.5,1,31861
1800,7.5,5,31328
18000,8.5,3,33419
27900,8.75,1,32813
21600,6,2,23829
31500,6,5,26594
23400,6.5,5,27683
29700,5,4,21593
34200,7.25,4,29725
21600,10,1,37310
25200,8.75,4,35481
18900,10,4,39889
30600,9,2,34472
22500,5.25,1,20273
54900,5.25,1,20206
22500,5.75,2,22896
18900,8.5,5,34924
31500,9.25,10,41627
22500,6.75,1,25540
25200,6.25,3,25529
18000,7.75,5,32882
25200,6,2,23841
29700,9.5,1,35468
32400,7,10,34119
29700,5.25,1,20195
25200,5.25,2,21166
29700,6.25,1,23756
20700,6.5,5,28309
23400,6.5,4,27461
25200,5.25,1,20198
25200,7,1,26473
25200,7,8,31991
28800,7.25,1,27447
28800,5.75,1,21998
30600,9.75,6,40858
7200,6.25,1,23804
18900,5.75,10,29441
18000,10,3,39172
26100,10,3,38893
31500,10,1,37335
27900,9.25,5,38196
25200,9,2,34555
28800,7,1,26469
72000,6.75,10,33588
28800,8,3,31978
64800,6.25,1,23881
22500,7.5,3,30023
33300,8,1,30106
21600,9.75,3,38172
29700,9.75,2,37135
30600,7,2,27434
34200,7,1,26518
28800,8,8,36140
31500,5.25,3,21907
29700,8.75,2,33668
33300,10,4,39818
19800,8.25,3,32497
27000,5.5,2,21968
25200,6.5,1,24649
0,8.75,1,32836
19800,5.75,2,22842
19800,7.75,6,33465
26100,5,1,19236
33300,6.5,6,28471
62100,7.25,5,30438
1800,10,1,37340
31500,7,4,29078
27900,5.75,1,22062
21600,5.25,1,20151
74700,8.5,4,34389
18000,6,1,22896
5400,9.25,10,41802
56700,7.25,7,32818
40500,9.25,2,35380
12600,7,1,26570
26100,7.25,2,28114
26100,7.5,1,28237
27900,6,1,22913
9000,8,1,30148
81900,8.5,5,35434
22500,7.75,1,29224
23400,10,2,38095
12600,6.75,10,33695
33300,9.75,5,40073
30600,5.75,1,21959
20700,8.25,2,31936
49500,9.5,1,35595
80100,10,3,38950
21600,8.5,1,31983
27900,5.75,2,22941
26100,10,1,37242
45000,7.5,1,28296
32400,6.25,3,25548
23400,7,1,26563
47700,8.25,1,30970
34200,6.75,1,25594
21600,8.5,2,32656
20700,7.5,5,31355
36900,6.75,3,27428
20700,5.5,1,21191
7200,7.5,2,29075
33300,7.75,4,31458
22500,6.75,1,25528
21600,9.5,4,38109
33300,9.75,4,39115
14400,9.75,3,37989
19800,5,4,21570
21600,7.5,1,28318
20700,6.5,5,28160
30600,8,2,30920
26100,9.75,1,36381
27900,9.5,10,43113
25200,7.5,4,30656
28800,7.75,1,29149
33300,5,4,21906
24300,8.25,1,31009
29700,5.25,3,21813
83700,6.25,2,24708
23400,6.25,7,28398
22500,5.75,9,28133
27900,7.75,1,29233
18900,6.75,2,26435
18000,5.5,1,21110
34200,6.5,1,24728
23400,8.75,10,40622
18900,5.25,6,24081
34200,7.25,2,28219
26100,6.25,5,26923
30600,5.75,6,25935
20700,10,10,44284
25200,9.75,1,36427
34200,6.5,4,27260
60300,8.25,5,34561
21600,9.75,3,37974
18900,8.25,3,32710
26100,6.75,1,25528
35100,8.75,1,32772
19800,9.75,5,39625
35100,6.25,1,23846
24300,9,9,39946
23400,8.75,1,32841
28800,7.75,1,29215
19800,5,2,20179
24300,8.5,4,34348
19800,7.5,10,35372
81000,6.5,3,26302
27900,7,2,27414
25200,6.5,1,24695
27900,9.5,9,42031
69300,9,2,34570
32400,7.5,2,29114
25200,5.25,1,20258
1800,7.5,5,31791
27900,9,1,33736
27000,7.25,2,28163
18000,5,2,20293
23400,9.25,1,34571
30600,5.75,2,22732
26100,5.75,7,27292
19800,6,3,24656
34200,7.5,2,29223
25200,9.25,1,34573
30600,7.25,1,27465
23400,9,1,33764
31500,8.25,3,32563
50400,6.75,2,26428
32400,9.5,1,35429
22500,7.5,2,29218
27900,7.25,2,28287
22500,7.75,4,31527
27900,7.75,6,33595
34200,6.25,3,25522
35100,7,1,26525
30600,5.5,1,21145
31500,9.5,4,38146
34200,8.75,9,39655
33300,7.5,3,30022
28800,7.5,8,34531
30600,5.25,6,24715
12600,5.25,2,20921
33300,9.25,1,34644
18000,6.75,3,27191
27900,6.5,1,24651
27000,6.25,3,25522
26100,7.25,3,29217
34200,6.25,3,25480
18000,7,2,27352
21600,7.5,1,28376
34200,5,1,19287
34200,9.75,1,36399
21600,6.75,4,28031
23400,10,1,37362
63000,8.75,1,32827
1800,8.5,10,40091
35100,5,2,20040
35100,5.25,6,24544
35100,6.25,1,23820
31500,9,1,33641
34200,6.5,9,31588
34200,7.75,5,32474
31500,6.5,6,29135
31500,9.25,5,38098
22500,7.25,4,29645
25200,9,1,33679
18900,6.25,1,23785
18900,6,2,23685
29700,7.25,6,31383
30600,8.25,10,38640
34200,9.75,6,40431
19800,9.25,2,35587
39600,6.75,1,25644
29700,10,1,37297
27000,8.75,7,37415
35100,7.5,2,29026
27000,5,2,19997
18000,7.25,3,29175
27000,8.5,10,38992
32400,9.25,5,37995
29700,7.5,1,28324
19800,7.25,1,27365
25200,6.75,4,27818
64800,9.75,1,36389
18000,8,3,31962
20700,10,3,39048
27900,7.25,3,28890
34200,5.75,1,22054
20700,7.75,1,29149
18000,8.5,4,34661
36900,5.25,1,20198
28800,9.25,1,34610
24300,6.5,1,24673
19800,8.5,3,33449
27000,10,4,40066
18900,7.5,4,30708
56700,6.25,1,23776
21600,9.75,9,42960
35100,9.75,3,37974
30600,7.25,2,28191
27000,8,2,30888
7200,7.75,2,30147
25200,8.75,1,32772
34200,6.25,10,31447
24300,5.25,3,21815
27900,5.25,10,28096
27000,9.25,2,35393
61200,5,2,20015
20700,5,4,21549
18000,5.75,7,26735
26100,9.75,2,37137
30600,7.75,3,30665
21600,8.75,1,32835
22500,7,2,27356
34200,7.25,6,31746
33300,7.5,3,29929
80100,7,10,33935
24300,7.5,5,31851
23400,9.75,7,41329
26100,7.5,1,28279
31500,5.75,1,22040
21600,5,1,19334
31500,9.25,3,36127
24300,5,3,20901
20700,5,2,20099
18000,6.5,1,24634
21600,8,10,38285
20700,5.75,5,25272
19800,6.75,6,29647
33300,7.25,3,29095
29700,9.25,1,34663
27900,8.75,2,33701
25200,7.5,6,32359
24300,5.5,1,21018
34200,8,6,34550
27000,9,3,35199
26100,5.5,7,25615
31500,7.25,4,29959
31500,5.75,1,21978
18000,7,1,26547
32400,10,1,37336
31500,7,5,29713
28800,5.5,1,21043
22500,5.75,7,26542
26100,5.75,1,22036
18900,7,3,28325
26100,7.75,1,29200
28800,7.75,4,31732
24300,9.25,3,36335
30600,10,3,38957
